"commodity_code","obs_date","alert_level","alert_name","crisis_index","triggers","사유"
"CO","2021-01-18","3","경계","37.08734677779608","수입편중極","[CO · 경계(Orange)] 국제 핵심광물 시장의 가격 변동성 급증 및 핵심광물 조달 일부 차질. (산출근거: 수급위기지수 37/100, 수입편중極)"
"CO","2021-01-25","3","경계","37.08734677779608","수입편중極","[CO · 경계(Orange)] 국제 핵심광물 시장의 가격 변동성 급증 및 핵심광물 조달 일부 차질. (산출근거: 수급위기지수 37/100, 수입편중極)"
"CO","2021-02-01","3","경계","56.29525277460726","수입편중極","[CO · 경계(Orange)] 국제 핵심광물 시장의 가격 변동성 급증 및 핵심광물 조달 일부 차질. (산출근거: 수급위기지수 56/100, 수입편중極)"
"CO","2021-02-08","3","경계","56.29525277460726","수입편중極","[CO · 경계(Orange)] 국제 핵심광물 시장의 가격 변동성 급증 및 핵심광물 조달 일부 차질. (산출근거: 수급위기지수 56/100, 수입편중極)"
"CO","2021-02-15","3","경계","56.29525277460726","수입편중極","[CO · 경계(Orange)] 국제 핵심광물 시장의 가격 변동성 급증 및 핵심광물 조달 일부 차질. (산출근거: 수급위기지수 56/100, 수입편중極)"
"CO","2021-02-22","3","경계","56.29525277460726","수입편중極","[CO · 경계(Orange)] 국제 핵심광물 시장의 가격 변동성 급증 및 핵심광물 조달 일부 차질. (산출근거: 수급위기지수 56/100, 수입편중極)"
"CO","2021-03-01","3","경계","66.13548542655104","수입편중極","[CO · 경계(Orange)] 국제 핵심광물 시장의 가격 변동성 급증 및 핵심광물 조달 일부 차질. (산출근거: 수급위기지수 66/100, 수입편중極)"
"CO","2021-03-08","3","경계","66.13548542655104","수입편중極","[CO · 경계(Orange)] 국제 핵심광물 시장의 가격 변동성 급증 및 핵심광물 조달 일부 차질. (산출근거: 수급위기지수 66/100, 수입편중極)"
"CO","2021-03-15","3","경계","66.13548542655104","수입편중極","[CO · 경계(Orange)] 국제 핵심광물 시장의 가격 변동성 급증 및 핵심광물 조달 일부 차질. (산출근거: 수급위기지수 66/100, 수입편중極)"
"CO","2021-03-22","3","경계","66.13548542655104","수입편중極","[CO · 경계(Orange)] 국제 핵심광물 시장의 가격 변동성 급증 및 핵심광물 조달 일부 차질. (산출근거: 수급위기지수 66/100, 수입편중極)"
"CO","2021-03-29","3","경계","66.13548542655104","수입편중極","[CO · 경계(Orange)] 국제 핵심광물 시장의 가격 변동성 급증 및 핵심광물 조달 일부 차질. (산출근거: 수급위기지수 66/100, 수입편중極)"
"CO","2021-04-05","3","경계","59.966920855747","수입편중極","[CO · 경계(Orange)] 국제 핵심광물 시장의 가격 변동성 급증 및 핵심광물 조달 일부 차질. (산출근거: 수급위기지수 60/100, 수입편중極)"
"CO","2021-04-12","3","경계","59.966920855747","수입편중極","[CO · 경계(Orange)] 국제 핵심광물 시장의 가격 변동성 급증 및 핵심광물 조달 일부 차질. (산출근거: 수급위기지수 60/100, 수입편중極)"
